DHSID,ncc4_2013e
LB200900000074,0.052631579
LB200900000081,0
LB200900000082,0.25862069
LB200900000083,0
LB200900000084,0
LB200900000085,0
LB200900000086,0.765217391
LB200900000087,0.220183486
LB200900000116,2.612068966
LB200900000117,4.705357143
LB200900000118,0
LB200900000122,0
LB200900000123,0.52173913
LB200900000124,0
LB200900000125,0.155172414
LB200900000126,0
LB200900000127,0.564102564
LB200900000128,0
LB200900000131,0
LB200900000132,0
LB200900000133,0
LB200900000134,0
LB200900000135,0
LB200900000136,0
LB200900000139,0
LB200900000140,0
LB200900000141,0
LB200900000142,0
LB200900000145,0
LB200900000146,0
LB200900000147,0
LB200900000148,0
LB200900000149,0
LB200900000150,0
LB200700000002,7.373913043
LB200700000003,1.530434783
LB200700000004,0
LB200700000007,0
LB200700000008,3.162393162
LB200700000009,0
LB200700000013,0
LB200700000014,7.696428571
LB200700000015,3.226086957
LB200700000017,0
LB200700000019,0
LB200700000022,0
LB200700000023,2.165217391
LB200700000024,0
LB200700000026,0
LB200700000027,0
LB200700000032,0
LB200700000033,1.495495496
LB200700000034,0
LB200700000035,0
LB200700000036,1.550847458
LB200700000037,0
LB200700000038,0
LB200700000041,0
LB200700000042,0
LB200700000043,0
LB200700000045,0
LB200700000046,0
LB200700000047,0
LB200700000049,0
LB200700000050,0
LB200700000051,0
LB200700000052,0
LB200700000056,0
LB200700000058,0
LB200700000059,1.431034483
LB200700000060,0
LB200700000071,0.307692308
LB200700000072,0
LB200700000074,0.99122807
LB200700000075,0
LB200700000076,0
LB200700000077,0
LB200700000078,0
LB200700000080,0
LB200700000081,0
LB200700000082,0.153846154
LB200700000084,0
LB200700000087,0
LB200700000088,0
LB200700000089,0
LB200700000090,0
LB200700000091,0
LB200700000092,0
LB200700000094,0
LB200700000095,0
LB200700000096,0
LB200700000097,0
LB200700000098,0
LB200700000099,0.263157895
LB200700000100,0
LB200700000103,0.267857143
LB200700000104,0
LB200700000105,0
LB200700000106,1.556521739
LB200700000109,0
LB200700000110,0
LB200700000111,2.586206897
LB200700000112,0
LB200700000113,1.938053097
LB200700000114,0
LB200700000115,0
LB200700000123,0
LB200700000124,0
LB200700000125,0
LB200700000126,0
LB200700000128,0
LB200700000130,0
LB200700000131,0
LB200700000132,3.094017094
LB200700000134,0.392857143
LB200700000136,0
LB200700000137,0
LB200700000138,0
LB200700000141,0
LB200700000142,0
LB200700000144,0
LB200700000146,0
LB200700000147,13.62385321
LB200700000148,0
LB200700000149,0
LB200700000150,0
LB200700000151,0
LB200700000152,0
LB200700000153,0
LB200700000155,0
LB200700000162,0
LB200700000164,0
LB200700000166,0
LB200700000168,0
LB200700000170,0
LB200700000171,0
LB200700000174,0
LB200700000175,1.043478261
LB200700000176,0
LB200700000177,0.903508772
LB200700000180,0
LB200700000181,0
LB200700000184,0
LB200700000185,0
LB200700000186,0
LB200700000187,0
LB200700000189,0
LB200700000190,0
LB200700000191,0
LB200700000195,0.547008547
LB200700000196,0
LB200700000197,0
LB200700000198,0
LB200700000199,0
LB200700000200,0
LB200700000202,0
LB200700000203,0
LB200700000205,0
LB200700000206,0
LB200700000208,0.547826087
LB200700000209,0.206896552
LB200700000212,7.808695652
LB200700000218,0
LB200700000219,0
LB200700000221,0
LB200700000222,0
LB200700000224,1.396551724
LB200700000225,0
LB200700000228,0
LB200700000229,0
LB200700000231,0
LB200700000233,0
LB200700000234,0
LB200700000235,0
LB200700000237,0
LB200700000238,0
LB200700000239,0
LB200700000241,3.165217391
LB200700000242,2.705357143
LB200700000243,0
LB200700000244,2.342105263
LB200700000245,0
LB200700000246,2.139130435
LB200700000249,0
LB200700000250,0
LB200700000251,0
LB200700000253,0
LB200700000254,0.432432432
LB200700000255,0
LB200700000256,0
LB200700000257,0
LB200700000259,0
LB200700000260,0.491071429
LB200700000263,0
LB200700000264,0
LB200700000265,0
LB200700000267,0
LB200700000268,0
LB200700000269,0
LB200700000270,0
LB200700000271,0
LB200700000272,1.252173913
LB200700000273,1.965217391
LB200700000276,0
LB200700000277,0.368421053
LB200700000278,2.4
LB200700000279,0
LB200700000280,0
LB200700000281,0
LB200700000283,1.393162393
LB200700000287,0
LB200700000289,0
LB200700000290,2.672566372
LB200700000294,0
LB200700000295,0
LB200700000296,0
LB200700000297,0
LB200700000300,0
LB198600000101,0.055045872
LB198600000102,0
LB198600000103,0
LB198600000104,0
LB198600000105,0
LB198600000106,0
LB198600000107,0
LB198600000108,0
LB198600000109,0
LB198600000110,0
LB198600000111,0
LB198600000112,0
LB198600000113,0
LB198600000114,0
LB198600000115,0.110091743
LB198600000116,0
LB198600000117,0
LB198600000122,1.871559633
LB198600000123,1.871559633
LB198600000124,1.871559633
LB198600000201,0
LB198600000202,0
LB198600000203,0
LB198600000204,0
LB198600000205,0
LB198600000206,2.816513761
LB198600000207,2.816513761
LB198600000208,0
LB198600000209,2.816513761
LB198600000214,0
LB198600000215,0
LB198600000216,0
LB198600000217,0
LB198600000218,0
LB198600000219,0
LB198600000220,0
LB198600000221,0
LB198600000222,0
LB198600000223,0
LB198600000224,0
LB198600000301,0
LB198600000302,0
LB198600000303,0
LB198600000304,0
LB198600000306,0
LB198600000308,0
LB198600000309,0
LB198600000312,0
LB198600000313,0
LB198600000314,0
LB198600000315,0
LB198600000316,0
LB198600000317,0
LB198600000318,0.220183486
LB198600000347,2.513761468
LB198600000349,7.082568807
LB198600000354,0
LB198600000355,0
LB198600000356,0
LB198600000357,0
LB198600000358,0
LB198600000359,0
LB198600000360,0
LB198600000361,0
LB198600000362,4.064220183
LB198600000363,0
LB198600000364,0
LB198600000366,0
LB198600000367,0.055045872
LB198600000368,0
LB198600000369,0.825688073
LB198600000370,0
LB198600000371,0
LB198600000372,2.651376147
LB198600000373,2.651376147
LB198600000375,0
LB198600000376,0
LB198600000377,0
LB198600000378,0
LB198600000379,0
LB198600000380,0
LB198600000381,0
LB198600000384,0
LB198600000385,0
LB198600000386,0
LB198600000387,0.862385321
LB198600000389,1.385321101
LB198600000390,0.862385321
LB198600000391,0.403669725
LB198600000392,0
LB198600000393,0
LB198600000394,0
LB198600000396,0
LB198600000397,0
LB198600000399,0.550458716
LB198600000400,0
LB198600000401,0
LB198600000402,0
LB198600000404,0
LB198600000405,0
LB198600000406,0.275229358
LB198600000407,0
LB201300000001,4.96
LB201300000004,0
LB201300000007,0
LB201300000011,18.34782609
LB201300000014,24.70833333
LB201300000015,0
LB201300000016,7.956521739
LB201300000019,22.30434783
LB201300000020,5.583333333
LB201300000021,0
LB201300000022,0
LB201300000024,12.69565217
LB201300000029,0.24
LB201300000034,0
LB201300000039,6.75
LB201300000040,5.875
LB201300000044,0
LB201300000046,3.5
LB201300000050,26.54166667
LB201300000055,7.291666667
LB201300000057,5.956521739
LB201300000063,16.08695652
LB201300000066,0
LB201300000069,0
LB201300000071,6.173913043
LB201300000080,0.72
LB201300000082,6.296296296
LB201300000087,14.53846154
LB201300000088,21.11111111
LB201300000094,5.583333333
LB201300000095,3.36
LB201300000097,22.24
LB201300000098,0
LB201300000102,4.458333333
LB201300000103,0
LB201300000104,13.60869565
LB201300000108,0
LB201300000109,3.695652174
LB201300000111,6.48
LB201300000113,3.086956522
LB201300000115,4.76
LB201300000118,19.8
LB201300000119,6.434782609
LB201300000123,22
LB201300000126,0
LB201300000127,25.91304348
LB201300000128,18.2173913
LB201300000132,12.76923077
LB201300000133,25.52173913
LB201300000140,4.296296296
LB201300000141,0
LB201300000143,0
LB201300000144,4.44
LB201300000146,16.65217391
LB201300000148,0
LB201300000154,0
LB201300000158,13.26923077
LB201300000162,0
LB201300000164,20.58333333
LB201300000166,22.68
LB201300000171,7.083333333
LB201300000172,19.4
LB201300000174,0
LB201300000178,18.11111111
LB201300000180,7.608695652
LB201300000182,0
LB201300000185,11.28
LB201300000188,13.73913043
LB201300000198,15.5
LB201300000199,19.2173913
LB201300000200,4.583333333
LB201300000201,5.826086957
LB201300000202,7.153846154
LB201300000206,0
LB201300000208,0
LB201300000209,0
LB201300000210,18.13043478
LB201300000211,0
LB201300000212,0
LB201300000213,16.26086957
LB201300000215,0
LB201300000216,6.5
LB201300000220,0
LB201300000223,8.041666667
LB201300000227,20.07407407
LB201300000234,0
LB201300000237,24.80769231
LB201300000239,0
LB201300000240,0
LB201300000241,14.88461538
LB201300000242,3.961538462
LB201300000245,0
LB201300000248,4.740740741
LB201300000250,26.62962963
LB201300000256,0
LB201300000258,0
LB201300000261,4.230769231
LB201300000263,18.7826087
LB201300000270,1.2
LB201300000271,0
LB201300000274,19.24
LB201300000275,1
LB201300000278,14.69565217
LB201300000280,0
LB201300000282,5.2
LB201300000283,0
LB201300000294,15.80769231
LB201300000298,0
LB201300000300,24.19230769
LB201300000301,0
LB201300000302,0
LB201300000304,0
LB201300000308,26.96153846
LB201300000312,0
LB201300000314,21.6
LB201300000316,0
LB201300000317,21.11538462
LB201300000320,6.703703704
LB201300000322,12.53846154
LB201100000001,3.88
LB201100000002,4.739130435
LB201100000010,1.111111111
LB201100000011,4.88
LB201100000012,0
LB201100000019,0
LB201100000020,0
LB201100000025,12.12
LB201100000026,13.6
LB201100000027,10.44
LB201100000035,0
LB201100000036,0
LB201100000045,0
LB201100000046,6.222222222
LB201100000047,5.24
LB201100000048,7.391304348
LB201100000054,0
LB201100000055,0
LB201100000060,0
LB201100000061,0
LB201100000062,1.72
LB201100000066,10.6
LB201100000067,13.44
LB201100000068,6.75
LB201100000069,2.695652174
LB201100000070,14.58333333
LB201100000075,5.043478261
LB201100000076,4.52173913
LB201100000077,2.47826087
LB201100000078,6.434782609
LB201100000079,6.12
LB201100000080,5.923076923
LB201100000088,23.04347826
LB201100000089,19.03846154
LB201100000090,18.34782609
LB201100000091,22.76923077
LB201100000092,13.36
LB201100000093,12.2
LB201100000094,10.91304348
LB201100000095,16.92
LB201100000096,11.65217391
LB201100000097,22.7826087
LB201100000098,17.73076923
LB201100000099,18.7826087
LB201100000100,19.5
LB201100000101,18.92592593
LB201100000102,20.07692308
LB201100000103,23.17391304
LB201100000104,26.96296296
LB201100000105,24.5
LB201100000106,27.91666667
LB201100000107,22.25
LB201100000108,22.25
LB201100000109,23.52173913
LB201100000110,19.92307692
LB201100000111,22.125
LB201100000112,19.375
LB201100000113,0
LB201100000114,10.08695652
LB201100000115,9.703703704
LB201100000119,2.086956522
LB201100000120,4.84
LB201100000121,0.923076923
LB201100000129,0
LB201100000130,0
LB201100000137,0
LB201100000138,0
LB201100000143,6.76
LB201100000144,4.913043478
LB200900000001,3.88
LB200900000002,4.739130435
LB200900000010,1.111111111
LB200900000011,4.88
LB200900000012,0
LB200900000019,0
LB200900000020,0
LB200900000025,12.12
LB200900000026,13.6
LB200900000027,10.44
LB200900000035,0
LB200900000036,0
LB200900000045,0
LB200900000046,6.222222222
LB200900000047,5.24
LB200900000048,7.391304348
LB200900000054,0
LB200900000055,0
LB200900000060,0
LB200900000061,0
LB200900000062,1.72
LB200900000066,10.6
LB200900000067,13.44
LB200900000068,6.75
LB200900000069,2.695652174
LB200900000070,14.58333333
LB200900000075,5.043478261
LB200900000076,4.52173913
LB200900000077,2.47826087
LB200900000078,6.434782609
LB200900000079,6.12
LB200900000080,5.923076923
LB200900000088,23.04347826
LB200900000089,19.03846154
LB200900000090,18.34782609
LB200900000091,22.76923077
LB200900000092,13.36
LB200900000093,12.2
LB200900000094,10.91304348
LB200900000095,16.92
LB200900000096,11.65217391
LB200900000097,22.7826087
LB200900000098,17.73076923
LB200900000099,18.7826087
LB200900000100,19.5
LB200900000101,18.92592593
LB200900000102,20.07692308
LB200900000103,23.17391304
LB200900000104,26.96296296
LB200900000105,24.5
LB200900000106,27.91666667
LB200900000107,22.25
LB200900000108,22.25
LB200900000109,23.52173913
LB200900000110,19.92307692
LB200900000111,22.125
LB200900000112,19.375
LB200900000113,0
LB200900000114,10.08695652
LB200900000115,9.703703704
LB200900000119,2.086956522
LB200900000120,4.84
LB200900000121,0.923076923
LB200900000129,0
LB200900000130,0
LB200900000137,0
LB200900000138,0
LB200900000143,6.76
LB200900000144,4.913043478
LB200700000001,0
LB200700000005,21.7037037
LB200700000006,20.17391304
LB200700000010,5.2
LB200700000011,0
LB200700000012,3.769230769
LB200700000016,26.5
LB200700000018,20.29166667
LB200700000020,15.625
LB200700000021,3.791666667
LB200700000025,17.40740741
LB200700000028,14.16666667
LB200700000029,5
LB200700000030,7.115384615
LB200700000031,18.16666667
LB200700000039,18.66666667
LB200700000040,20.76
LB200700000044,5.25
LB200700000048,0
LB200700000053,5.44
LB200700000054,18.69230769
LB200700000055,18.5
LB200700000057,21.45833333
LB200700000061,18.875
LB200700000062,4.083333333
LB200700000063,21.91304348
LB200700000064,21.69565217
LB200700000065,12.8
LB200700000066,22.52
LB200700000067,26.72
LB200700000068,18.69565217
LB200700000069,0
LB200700000070,23.54166667
LB200700000073,17.03846154
LB200700000079,0
LB200700000083,0
LB200700000085,21.26086957
LB200700000093,17.13043478
LB200700000101,5.68
LB200700000102,5.608695652
LB200700000107,22.17391304
LB200700000108,20.04347826
LB200700000116,18.13043478
LB200700000117,17.12
LB200700000118,2.47826087
LB200700000119,4.086956522
LB200700000121,21.52173913
LB200700000122,5.826086957
LB200700000127,18.8
LB200700000129,7.434782609
LB200700000133,24.60869565
LB200700000135,2.782608696
LB200700000139,13.22222222
LB200700000140,7.541666667
LB200700000143,2.185185185
LB200700000145,22
LB200700000154,23.41666667
LB200700000156,22.95652174
LB200700000157,26.2173913
LB200700000158,17.46153846
LB200700000159,22.95652174
LB200700000160,0
LB200700000161,26.73076923
LB200700000163,0
LB200700000165,18.73913043
LB200700000167,13.52
LB200700000169,0
LB200700000172,5.461538462
LB200700000173,4.416666667
LB200700000178,5.956521739
LB200700000179,7
LB200700000182,10.08333333
LB200700000183,13
LB200700000188,21.69565217
